         73044 function calls (68463 primitive calls) in 26.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:925(set_data_dtype)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:511(_set_inter)
      160    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       60    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/inspect.py:1828(_shadowed_dict)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:287(scaling_needed)
      120    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      460    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/inspect.py:1802(_check_class)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:247(diag)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_methods.py:68(_all)
       40    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       40    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       80    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:123(_makearray)
       80    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.generic' objects}
      7/2    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/typing.py:1874(__subclasscheck__)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:246(_init_write)
       60    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:429(_format_parsed_parts)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/contextlib.py:104(__init__)
       60    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:95(scaling_needed)
      240    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:128(isComplexType)
      120    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/wrapstruct.py:313(__setitem__)
